"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Braver Wealth Management LLC", 122286, 3972, "12/31/2016"
"Private Trust Co. NA", 122241, 3970, "12/31/2016"
"Sigma Planning Corp", 122062, 3965, "12/31/2016"
"Jolley Asset Management LLC", 121813, 3956, "12/31/2016"
"Hollencrest Securities LLC", 121101, 3933, "12/31/2016"
"Cutler Group LP", , 3927, "12/31/2016"
"Advisory Services Network LLC", 115035, 3896, "09/30/2016"
"Shelter Ins Retirement Plan", 119900, 3894, "12/31/2016"
"Moody National Bank Trust Division", 119553, 3883, "12/31/2016"
"Bank of Nova Scotia Trust Co.", 119517, 3882, "12/31/2016"
"Benchmark Capital Advisors", 119349, 3876, "12/31/2016"
"Maryland Capital Management", 119190, 3872, "12/31/2016"
"Adams Asset Advisors LLC", 119076, 3868, "12/31/2016"
"Rockefeller Financial Services Inc.", 118105, 3836, "12/31/2016"
"Woodley Farra Manion Portfolio Management Inc.", 118090, 3836, "12/31/2016"
"New England Asset Management Inc.", 117616, 3820, "12/31/2016"
"1st Global Advisors Inc.", 117446, 3815, "12/31/2016"
"ST Germain D J Co. Inc.", 117041, 3801, "12/31/2016"
"First Midwest Bank Trust Division", 116906, 3797, "12/31/2016"
"Martin & Co. Inc. TN", 116565, 3786, "12/31/2016"
"Sandy Spring Bank", 116500, 3784, "12/31/2016"
"CenturyLink Investment Management Co", 116331, 3778, "12/31/2016"
"NJ State Employees Deferred Compensation Plan", 115956, 3766, "12/31/2016"
"Shufro Rose & Co. LLC", 115640, 3756, "12/31/2016"
"Bell Bank", 115385, 3748, "12/31/2016"
"Boyar Asset Management Inc.", 115333, 3746, "12/31/2016"
"American Assets Investment Management LLC", 115000, 3735, "12/31/2016"
"Crawford Investment Counsel Inc.", 114918, 3733, "12/31/2016"
"OLD Second National Bank of Aurora", 114624, 3723, "12/31/2016"
"Rehmann Capital Advisory Group", 114031, 3704, "12/31/2016"
"National Asset Management Inc.", 113465, 3689, "12/31/2016"
"Segment Wealth Management LLC", 113368, 3682, "12/31/2016"
"Fred Alger Management Inc.", 113137, 3675, "12/31/2016"
"Viking Fund Management LLC", 113000, 3671, "12/31/2016"
"NEXT Financial Group Inc", 112653, 3659, "12/31/2016"
"Reliance Trust Co. of Delaware", 112429, 3652, "12/31/2016"
"Opus Point Partners Management LLC", 112300, 3648, "12/31/2016"
"Coastline Trust Co", 112200, 3644, "12/31/2016"
"Asset Planning Services Inc. LA ADV", 112131, 3642, "12/31/2016"
"Cetera Advisors LLC", 112074, 3626, "12/31/2016"
"Orca Investment Management LLC", 111400, 3618, "12/31/2016"
"Blue Granite Capital LLC", 110550, 3591, "12/31/2016"
"Osborn Williams & Donohoe LLC", 110491, 3589, "12/31/2016"
"Diversified Trust Co", 110414, 3586, "12/31/2016"
"M&R Capital Management Inc.", 120336, 3581, "12/31/2016"
"Motco", 110129, 3577, "12/31/2016"
"Karpas Strategies LLC", 110091, 3576, "12/31/2016"
"Farmers National Bank", 109960, 3572, "12/31/2016"
"Hartland & Co. LLC", 109708, 3564, "12/31/2016"
"Community Bank N.A.", 109353, 3551, "12/31/2016"
"Whalerock Point Partners LLC", 109282, 3550, "12/31/2016"
"Union Bankshares Corp", 108453, 3523, "12/31/2016"
"Orleans Capital Management Corp LA", 108268, 3517, "12/31/2016"
"Edmond DE Rothschild Suisse S.A.", 103803, 3516, "09/30/2016"
"Oliver Luxxe Assets LLC", 107255, 3484, "12/31/2016"
"Carret Asset Management LLC", 107088, 3478, "12/31/2016"
"Smith Salley & Associates", 106838, 3469, "12/31/2016"
"Security National Trust Co.", 106643, 3463, "12/31/2016"
"Linscomb & Williams Inc.", 106015, 3443, "12/31/2016"
"Robshaw & Julian Associates Inc.", 105903, 3442, "12/31/2016"
"Eliot Finkel Investment Counsel LLC", 105886, 3439, "12/31/2016"
"Fiera Capital Corp", 104800, 3404, "12/31/2016"
"united american securities inc. d b a uas asset management", 104325, 3388, "12/31/2016"
"Buckingham Capital Management Inc.", 103834, 3373, "12/31/2016"
"Parametric Risk Advisors LLC", 99589, 3373, "09/30/2016"
"Valueworks LLC", 102903, 3342, "12/31/2016"
"MD Sass Investors Services Inc.", 102200, 3320, "12/31/2016"
"Alpha Omega Wealth Management LLC", 102095, 3316, "12/31/2016"
"Croft Leominster Inc.", 102002, 3313, "12/31/2016"
"Investment House LLC", 101475, 3296, "12/31/2016"
"KCG Holdings Inc.", 101434, 3295, "12/31/2016"
"Edgewood Management LLC", 100790, 3274, "12/31/2016"
"Thompson Rubinstein Investment Management Inc. OR", 100342, 3259, "12/31/2016"
"Bontempo Ohly Capital Mgmt LLC", 100346, 3259, "12/31/2016"
"Columbia Asset Management", 100264, 3257, "12/31/2016"
"NTV Asset Management LLC", 99914, 3245, "12/31/2016"
"Beck Mack & Oliver LLC", 99028, 3216, "12/31/2016"
"Fieldpoint Private Advisors Inc.", 98725, 3207, "12/31/2016"
"Honkamp Krueger Financial Services Inc. ADV", 98145, 3188, "12/31/2016"
"OLD Mutual Customised Solutions Proprietary Ltd.", 98000, 3183, "12/31/2016"
"BARING ASSET MANAGEMENT Ltd", 97884, 3179, "12/31/2016"
"WealthTrust Axiom LLC", 97509, 3167, "12/31/2016"
"CAPROCK Group Inc.", 97270, 3159, "12/31/2016"
"Mcmillion Capital Management Inc.", 96255, 3126, "12/31/2016"
"Advisor Partners LLC", 95889, 3114, "12/31/2016"
"Condor Capital Management", 94896, 3082, "12/31/2016"
"Sullivan Bruyette Speros & Blaney LLC", 94757, 3078, "12/31/2016"
"Burns J W & Co. Inc. NY", 94684, 3075, "12/31/2016"
"Glen Harbor Capital Management LLC", 94672, 3075, "12/31/2016"
"Brave Asset Management Inc.", 94063, 3055, "12/31/2016"
"Cadence Bank NA", 93804, 3047, "12/31/2016"
"Legacy Capital Partners Inc.", 93704, 3044, "12/31/2016"
"Supplemental Annuity Collective Trust of NJ", 93645, 3042, "12/31/2016"
"Freestone Capital Holdings LLC", 93290, 3030, "12/31/2016"
"Glenview State Bank Trust DEPT.", 93112, 3025, "12/31/2016"
"Ashfield Capital Partners LLC", 92595, 3007, "12/31/2016"
"First City Capital Management Inc.", 92510, 3005, "12/31/2016"
"Ativo Capital Management LLC", 92155, 2993, "12/31/2016"
"Tompkins Financial Corp", 92156, 2992, "12/31/2016"
"Sonora Investment Management LLC", 92115, 2992, "12/31/2016"
"Graybill Bartz & Assoc Ltd.", 91966, 2987, "12/31/2016"
"Hayek Kallen Investment Management", 91752, 2980, "12/31/2016"
"Highstreet Asset Management Inc.", 91694, 2978, "12/31/2016"
"Visionary Asset Management Inc.", 91438, 2970, "12/31/2016"
"EULAV Asset Management", 91000, 2956, "12/31/2016"
"Concannon Wealth Management LLC", 90860, 2951, "12/31/2016"
"First National Bank & Trust Co. of Newtown", 90788, 2948, "12/31/2016"
"Stuyvesant Capital Management", 90515, 2940, "12/31/2016"
"Boyd Watterson Asset Management LLC OH", 90462, 2938, "12/31/2016"
"Penobscot Investment Management Company Inc.", 90388, 2936, "12/31/2016"
"OLD Point Trust & Financial Services N A", 90280, 2932, "12/31/2016"
"Symphony Asset Management LLC", 89976, 2923, "12/31/2016"
"Nichols & Pratt Advisers LLP MA", 89798, 2916, "12/31/2016"
"Princeton Capital Management Inc.", 89750, 2915, "12/31/2016"
"Keeley Asset Management Corp", 89323, 2901, "12/31/2016"
"BKD Wealth Advisors LLC", 89314, 2901, "12/31/2016"
"CrestPoint Capital Management LLC", 89300, 2900, "12/31/2016"
"Virtu Financial LLC", 88778, 2884, "12/31/2016"
"Smithfield Trust Co.", 88640, 2878, "12/31/2016"
"Van Hulzen Asset Management LLC", 88423, 2872, "12/31/2016"
"Duncker Streett & Co. Inc.", 88371, 2870, "12/31/2016"
"Van Cleef Asset Management Inc", 88165, 2864, "12/31/2016"
"Cape Cod Five Cents Savings Bank", 88144, 2863, "12/31/2016"
"BTIM Corp.", 88147, 2863, "12/31/2016"
"Gierl Augustine Investment Management Inc", 87506, 2842, "12/31/2016"
"Cohen Klingenstein LLC", 87254, 2834, "12/31/2016"
"Asset Advisors Corp", 86964, 2825, "12/31/2016"
"Wall Street Access Asset Management LLC", 86877, 2822, "12/31/2016"
"Cipher Capital LP", 86812, 2819, "12/31/2016"
"Balyasny Asset Management LLC", 86415, 2807, "12/31/2016"
"Frontier Wealth Management LLC", 86419, 2807, "12/31/2016"
"Farr Miller & Washington LLC DC", 86183, 2799, "12/31/2016"
"Pekin Singer Strauss Asset Management IL", 85723, 2784, "12/31/2016"
"Community Bank & Trust Waco Texas", 85708, 2784, "12/31/2016"
"Auxier Asset Management", 85493, 2777, "12/31/2016"
"Salient Capital Advisors LLC", 85376, 2773, "12/31/2016"
"National Planning Corp", 87324, 2771, "12/31/2016"
"Howard Capital Management", 85241, 2769, "12/31/2016"
"Douglas Lane & Associates LLC", 85063, 2763, "12/31/2016"
"MRJ Capital Inc.", 84900, 2757, "12/31/2016"
"One Capital Management LLC", 84575, 2747, "12/31/2016"
"West Family Investments Inc.", 84247, 2736, "12/31/2016"
"SevenBridge Financial Group LLC", 83458, 2734, "12/31/2016"
"GFS Advisors LLC", 84107, 2732, "12/31/2016"
"Texas Yale Capital Corp.", 84054, 2730, "12/31/2016"
"Investec Asset Management North America Inc.", 83541, 2713, "12/31/2016"
"Grandfield & Dodd LLC", 82980, 2695, "12/31/2016"
"LVW Advisors LLC", 82620, 2683, "12/31/2016"
"Loring Wolcott & Coolidge Fiduciary Advisors LLP MA", 82470, 2679, "12/31/2016"
"Samsung Asset Management New York Inc.", 79100, 2679, "09/30/2016"
"Vantage Investment Advisors LLC", 82209, 2670, "12/31/2016"
"Fagan Associates Inc.", 81901, 2660, "12/31/2016"
"Wealthfront Inc.", 78205, 2649, "09/30/2016"
"Somerset Trust Co", 81563, 2648, "12/31/2016"
"Pinnacle Financial Partners Inc.", 81430, 2645, "12/31/2016"
"Aviance Capital Partners LLC", 80313, 2609, "12/31/2016"
"Bancorpsouth Inc.", 80173, 2604, "12/31/2016"
"BlueCrest Capital Management Ltd", 80012, 2599, "12/31/2016"
"Davis R M Inc.", 79688, 2588, "12/31/2016"
"Pegasus Partners Ltd.", 79338, 2577, "12/31/2016"
"Howland Capital Management LLC", 79188, 2572, "12/31/2016"
"Camarda Financial Advisors LLC", 79146, 2571, "12/31/2016"
"Aristotle Capital Management LLC", 78951, 2564, "12/31/2016"
"Gerstein Fisher", 75626, 2561, "09/30/2016"
"American National Registered Investment Advisor Inc.", 78749, 2558, "12/31/2016"
"Spinnaker Trust", 78720, 2557, "12/31/2016"
"Trust Co. of Toledo NA OH", 78650, 2555, "12/31/2016"
"Bonness Enterprises Inc.", 78608, 2553, "12/31/2016"
"American Money Management LLC", 78546, 2551, "12/31/2016"
"Bridges Investment Counsel Inc.", 78422, 2547, "12/31/2016"
"Zions Bancorporation", 78409, 2547, "12/31/2016"
"HBK Sorce Advisory LLC", 78193, 2540, "12/31/2016"
"Benjamin F. Edwards & Company Inc.", 77860, 2529, "12/31/2016"
"Lombard Odier Asset Management Europe Ltd", 77666, 2523, "12/31/2016"
"Capital Insight Partners LLC", 77638, 2522, "12/31/2016"
"Point View Wealth Management Inc.", 77455, 2516, "12/31/2016"
"IFM Investors Pty Ltd", 77303, 2511, "12/31/2016"
"Lyell Wealth Management LP", 77073, 2503, "12/31/2016"
"Murphy Pohlad Asset Management LLC", 76721, 2491, "12/31/2016"
"Daniel Devine & Co", 76655, 2490, "12/31/2016"
"Homrich & Berg", 76553, 2486, "12/31/2016"
"Checchi Capital Advisers LLC", 76465, 2484, "12/31/2016"
"Carnegie Capital Asset Management LLC", 73726, 2475, "12/31/2016"
"Sicart Associates LLC", 75885, 2465, "12/31/2016"
"United Asset Strategies Inc.", 75859, 2464, "12/31/2016"
"Rench Wealth Management Inc.", 75783, 2461, "12/31/2016"
"Pettyjohn Wood & White Inc.", 75669, 2458, "12/31/2016"
"Duff & Phelps Investment Management Co.", 75523, 2453, "12/31/2016"
"Lodestar Investment Counsel LLC IL", 75485, 2452, "12/31/2016"
"Bowen Hanes & Co. Inc.", 75355, 2448, "12/31/2016"
"Cacti Asset Management LLC", 75100, 2439, "12/31/2016"
"Independence Advisors LLC", 74956, 2435, "12/31/2016"
"Wills Financial Group Inc.", 74443, 2418, "12/31/2016"
"Court Place Advisors LLC", 74388, 2416, "12/31/2016"
"PVG Asset Management Corp", 71168, 2410, "09/30/2016"
"Afam Capital Inc.", 74141, 2408, "12/31/2016"
"Coldstream Capital Management Inc.", 73028, 2372, "12/31/2016"
"Sterneck Capital Management LLC", 72467, 2354, "12/31/2016"
"R.M.SINCERBEAUX Capital Management LLC", 71900, 2335, "12/31/2016"
"Diligent Investors LLC", 71781, 2331, "12/31/2016"
"Hilltop Holdings Inc.", 71705, 2329, "12/31/2016"
"Everett Harris & Co. CA", 71598, 2326, "12/31/2016"
"Overbrook Management Corp", 70846, 2301, "12/31/2016"
"Perkins Coie Trust Co", 70769, 2298, "12/31/2016"
"Woodmont Investment Counsel LLC", 70564, 2292, "12/31/2016"
"First Merchants Corp", 70469, 2288, "12/31/2016"
"Bollard Group LLC", 70351, 2285, "12/31/2016"
"Stillwater Investment Management LLC", 70009, 2274, "12/31/2016"
"Lombard Odier Asset Management Switzerland SA", 70000, 2274, "12/31/2016"
"Perigon Wealth Management LLC", 65490, 2261, "12/31/2016"
"Concert Wealth Management Inc.", , 2260, "12/31/2016"
"Burke & Herbert Bank & Trust Co.", 69545, 2259, "12/31/2016"
"Nikko Asset Management Americas Inc.", 69541, 2259, "12/31/2016"
"Cohen Capital Management Inc.", 69506, 2258, "12/31/2016"
"Aull & Monroe Investment Management Corp", 69458, 2256, "12/31/2016"
"Horizon Kinetics LLC", 69400, 2254, "12/31/2016"
"Covington Investment Advisors Inc.", 69297, 2251, "12/31/2016"
"CHICAGO TRUST Co NA", 69245, 2249, "12/31/2016"
"Altfest L J & Co. Inc.", 69068, 2243, "12/31/2016"
"TCI Wealth Advisors Inc.", 68763, 2233, "12/31/2016"
"AHL Partners LLP", 68327, 2220, "12/31/2016"
"Capital International Ltd. CA", 68100, 2212, "12/31/2016"
"Legacy Private Trust Co.", 68075, 2211, "12/31/2016"
"IFC Holdings Incorporated FL", 67727, 2195, "12/31/2016"
"Van Strum & Towne Inc.", 67511, 2193, "12/31/2016"
"Trust Co. of Virginia VA", 67382, 2189, "12/31/2016"
"Moneta Group Investment Advisors LLC", 67359, 2188, "12/31/2016"
"Hudock Capital Group LLC", 67151, 2181, "12/31/2016"
"SeaBridge Investment Advisors LLC", 67128, 2180, "12/31/2016"
"Pacific Global Investment Management CO", 67032, 2177, "12/31/2016"
"Holderness Investments Co.", 66638, 2164, "12/31/2016"
"First Eagle Investment Management LLC", 66061, 2146, "12/31/2016"
"Blue Chip Partners Inc.", 65852, 2139, "12/31/2016"
"United Bank", 65808, 2137, "12/31/2016"
"Investment Management of Virginia LLC", 65594, 2130, "12/31/2016"
"United Bank Inc.", 65451, 2126, "12/31/2016"
"Willingdon Wealth Management", 65119, 2115, "12/31/2016"
"City Holding Co.", 65099, 2114, "12/31/2016"
"Princeton Portfolio Strategies Group LLC", 65017, 2112, "12/31/2016"
"Argentiere Capital AG", 65000, 2111, "12/31/2016"
"PacWest Financial Management Inc", 64783, 2104, "12/31/2016"
"Hengehold Capital Management LLC", 64759, 2103, "12/31/2016"
"Guardian Investment Management", 64402, 2092, "12/31/2016"
"Private Bank & Trust Co.", 64306, 2089, "12/31/2016"
"Gargoyle Investment Advisor L.L.C.", 64205, 2085, "12/31/2016"
"Carlton Hofferkamp & Jenks Wealth Management LLC", 64049, 2080, "12/31/2016"
"Murphy Capital Management Inc.", 63825, 2073, "12/31/2016"
"Stearns Financial Services Group", 63637, 2067, "12/31/2016"
"Banque Pictet & Cie SA", 63583, 2065, "12/31/2016"
"Wagner Bowman Management Corp", 63404, 2059, "12/31/2016"
"Courier Capital LLC", 63275, 2055, "12/31/2016"
"GWM Advisors LLC", 62178, 2045, "12/31/2016"
"Eagle Global Advisors LLC", 62765, 2039, "12/31/2016"
"Cubist Systematic Strategies LLC", 62715, 2037, "12/31/2016"
"Beese Fulmer Investment Management Inc.", 62570, 2032, "12/31/2016"
"Edmond de Rothschild Europe", 59935, 2030, "09/30/2016"
"Colonial Trust Advisors", 62314, 2024, "12/31/2016"
"Meridian Investment Counsel Inc.", 62146, 2019, "12/31/2016"
"Cypress Wealth Advisors LLC", 62097, 2017, "12/31/2016"
"Douglass Winthrop Advisors LLC", 61744, 2005, "12/31/2016"
"Cim Investment Mangement Inc.", 61661, 2003, "12/31/2016"
"Intrust Bank NA", 61657, 2002, "12/31/2016"
"Rowland & Co. Investment Counsel ADV", 61543, 1999, "12/31/2016"
"Evermay Wealth Management LLC", 61234, 1989, "12/31/2016"
"Richard Bernstein Advisors LLC", 61213, 1988, "12/31/2016"
"Lombard Odier Asset Management USA Corp", , 1981, "12/31/2016"
"Doheny Asset Management CA", 60954, 1980, "12/31/2016"
"WealthTrust Fairport LLC", 60815, 1975, "12/31/2016"
"Glacier Peak Capital LLC", 60800, 1975, "12/31/2016"
"TSP Capital Management Group LLC", 60777, 1974, "12/31/2016"
"Shepherd Financial Partners LLC", 59595, 1967, "12/31/2016"
"Bremer Trust National Association", 60122, 1953, "12/31/2016"
"Plancorp LLC", 60088, 1953, "12/31/2016"
"Segantii Capital Management Ltd", 60000, 1949, "12/31/2016"
"Hall Capital Management Co. Inc.", 59488, 1932, "12/31/2016"
"LeJeune Puetz Investment Counsel LLC", 59467, 1932, "12/31/2016"
"New England Research & Management Inc.", 59342, 1927, "12/31/2016"
"Capital International Sarl", 59300, 1926, "12/31/2016"
"Bank of The Ozarks", 59226, 1924, "12/31/2016"
"GLG Partners LP", 59000, 1916, "12/31/2016"
"Hancock Holding Co.", 58881, 1912, "12/31/2016"
"East Coast Asset Management LLC.", 58785, 1909, "12/31/2016"
"Meristem LLP", 58613, 1904, "12/31/2016"
"Citizens & Northern Corp", 58466, 1899, "12/31/2016"
"Grimes & Company Inc.", 58447, 1898, "12/31/2016"
"E&G Advisors LP", 58318, 1894, "12/31/2016"
"Wellington Shields & Co. LLC", 58277, 1893, "12/31/2016"
"Wright Investors Service Inc.", 58217, 1891, "12/31/2016"
"Sterling Investment Management Inc.", 58147, 1889, "12/31/2016"
"Cutter & CO Brokerage Inc.", 58124, 1888, "12/31/2016"
"McQueen Ball & Associates Inc.", 57499, 1868, "12/31/2016"
"Montecito Bank & Trust", 57475, 1867, "12/31/2016"
"Leisure Capital Management", 57453, 1866, "12/31/2016"
"Arcadia Investment Management Corp MI", 57315, 1862, "12/31/2016"
"Abbrea Capital LLC", 56960, 1850, "12/31/2016"
"WMS Partners LLC", 56918, 1849, "12/31/2016"
"HighPoint Advisor Group LLC", 53683, 1848, "12/31/2016"
"Archford Capital Strategies LLC", 56759, 1843, "12/31/2016"
"A. D. Beadell Investment Counsel Inc.", 56685, 1841, "12/31/2016"
"Cpcm LLC", 56605, 1839, "12/31/2016"
"Ashburton Jersey Ltd", 56477, 1834, "12/31/2016"
"Hallmark Capital Management Inc.", 56446, 1833, "12/31/2016"
"Jackson Wealth Management LLC", 57174, 1833, "12/31/2016"
"Krasney Financial LLC", 56193, 1826, "12/31/2016"
"Brown Advisory Securities LLC", 56190, 1824, "12/31/2016"
"Schulhoff & Co. Inc.", 55641, 1807, "12/31/2016"
"Natixis Asset Management", 55594, 1806, "12/31/2016"
"Wade G W & Inc.", 55567, 1805, "12/31/2016"
"Compton Capital Management Inc. RI", 55445, 1801, "12/31/2016"
"Hedeker Wealth LLC", 55451, 1801, "12/31/2016"
"Central Bank & Trust Co.", 55411, 1799, "12/31/2016"
"Roundview Capital LLC", 55150, 1791, "12/31/2016"
"Cornercap Investment Counsel Inc.", 55132, 1790, "12/31/2016"
"Hutchinson Capital Management CA", 54987, 1786, "12/31/2016"
"Perceptive Advisors LLC", 55000, 1786, "12/31/2016"
"Pitcairn Co.", 54829, 1781, "12/31/2016"
"Tiedemann Wealth Management LLC", 54608, 1774, "12/31/2016"
"Perkins Capital Management Inc.", 54279, 1763, "12/31/2016"
"Appleton Partners Inc. MA", 54288, 1763, "12/31/2016"
"PVG Asset Management", 54107, 1757, "12/31/2016"
"Strategic Advisors LLC", 53925, 1751, "12/31/2016"
"Radnor Capital Management LLC", 53676, 1743, "12/31/2016"
"Moody Lynn & Lieberson LLC", 53476, 1737, "12/31/2016"
"Investors Asset Management of Georgia Inc. GA ADV", 52948, 1720, "12/31/2016"
"CWA Asset Management Group LLC", 52732, 1713, "12/31/2016"
"Cramer Rosenthal Mcglynn LLC", 52659, 1710, "12/31/2016"
"Sheets Smith Wealth Management", 52632, 1709, "12/31/2016"
"Stokes & Hubbell Capital Management LLC", 52620, 1709, "12/31/2016"
"Summit Financial Wealth Advisors LLC", 52440, 1703, "12/31/2016"
"Ancora Inverness LLC", 50137, 1698, "09/30/2016"
"Clean Yield Group", 52089, 1692, "12/31/2016"
"Heritage Way Advisors LLC", 52001, 1689, "12/31/2016"
"Integrated Wealth Management", 51866, 1685, "12/31/2016"
"Washington Trust Bank", 51546, 1674, "12/31/2016"
"Savant Capital LLC", 51545, 1674, "12/31/2016"
"Mark Sheptoff Financial Planning LLC", 51538, 1674, "12/31/2016"
"Allegis Investment Advisors LLC", 51547, 1674, "12/31/2016"
"Hutchin Hill Capital LP", 51400, 1669, "12/31/2016"
"JFS Wealth Advisors LLC", 51230, 1664, "12/31/2016"
"Catamount Wealth Management", 51245, 1664, "12/31/2016"
"Laurel Wealth Advisors Inc.", 51144, 1661, "12/31/2016"
"Alpha Cubed Investments LLC", 51116, 1660, "12/31/2016"
"Nwam LLC", 51087, 1659, "12/31/2016"
"Stonebridge Capital Advisors LLC", 51006, 1657, "12/31/2016"
"Reynders McVeigh Capital Management LLC", 50996, 1656, "12/31/2016"
"Connable Office Inc.", 50875, 1652, "12/31/2016"
"Girard Partners LTD.", 50843, 1651, "12/31/2016"
"SOL Capital Management CO", 50720, 1647, "12/31/2016"
"Harvey Investment Co. LLC", 50619, 1644, "12/31/2016"
"WFG Advisors LP", 50461, 1639, "12/31/2016"
"Fidelity National Financial Inc.", 50000, 1624, "12/31/2016"
"New Jersey Better Educational Savings Trust", 50000, 1624, "12/31/2016"
"Bellevue Group AG", 50000, 1624, "12/31/2016"
"Stewart & Patten Co. LLC", 49684, 1614, "12/31/2016"
"Palisade Asset Management LLC", 49699, 1614, "12/31/2016"
"Stanley Laman Group Ltd.", 49597, 1611, "12/31/2016"
"Timber Hill LLC", , 1608, "12/31/2016"
"Financial Architects Inc", , 1608, "12/31/2016"
"Buckingham Asset Management LLC", 49507, 1608, "12/31/2016"
"First National Bank of Mount Dora Trust Investment Services", 49470, 1607, "12/31/2016"
"Sawtooth Solutions LLC", 49480, 1607, "12/31/2016"
"South Texas Money Management Ltd.", 49413, 1605, "12/31/2016"
"Thompson Investment Management Inc.", 49331, 1602, "12/31/2016"
"Turner Investments LLC", 49210, 1598, "12/31/2016"
"Maple Capital Management Inc.", 49194, 1598, "12/31/2016"
"Mosaic Family Wealth LLC", 48982, 1591, "12/31/2016"
"Peloton Wealth Strategists", 48800, 1585, "12/31/2016"
"Bridges Investment Management Inc.", 48767, 1584, "12/31/2016"
"Winslow Evans & Crocker Inc.", 48772, 1584, "12/31/2016"
"Regent Investment Management LLC", 48512, 1576, "12/31/2016"
"Genesee Valley Trust Co.", 48433, 1573, "12/31/2016"
"First PREMIER Bank", 48440, 1573, "12/31/2016"
"Nelson Van Denburg & Campbell Wealth Management Group LLC", 47571, 1554, "12/31/2016"
"Fuller & Thaler Asset Management Inc.", 47800, 1553, "12/31/2016"
"Platinum Investment Management Ltd.", 47610, 1546, "12/31/2016"
"Yellowstone Partners LLC", 45614, 1545, "09/30/2016"
"Budros Ruhlin & Roe Inc.", 47441, 1541, "12/31/2016"
"Oldfield Partners LLP", 47450, 1541, "12/31/2016"
"Schnieders Capital Management LLC", 47403, 1540, "12/31/2016"
"Taylor Cottrill Erickson & Associates Inc.", 47423, 1540, "12/31/2016"
"Blue Fin Capital Inc.", 47345, 1538, "12/31/2016"
"First Houston Capital Inc.", 47250, 1535, "12/31/2016"
"Arbor Wealth Management LLC", 46741, 1526, "12/31/2016"
"Formidable Asset Management LLC", 46964, 1525, "12/31/2016"
"SFE Investment Counsel", 48896, 1523, "12/31/2016"
"Wendell David Associates Inc.", 46660, 1516, "12/31/2016"
"Fragasso Group Inc.", 46228, 1501, "12/31/2016"
"Mengis Capital Management Inc.", 46067, 1496, "12/31/2016"
"Canal Capital Management LLC", 45969, 1493, "12/31/2016"
"Monroe Bank & Trust MI", 45944, 1492, "12/31/2016"
"AT Bancorp", 45837, 1488, "12/31/2016"
"Greylin Investment Mangement Inc.", 45776, 1487, "12/31/2016"
"Integrated Investment Consultants LLC", 45746, 1486, "12/31/2016"
"Zeke Capital Advisors LLC", 45733, 1485, "12/31/2016"
"Columbia Partners L L C Investment Management", 45497, 1477, "12/31/2016"
"Mycio Wealth Partners LLC", 45369, 1474, "12/31/2016"
"Barrington Strategic Wealth Management Group LLC", 45319, 1472, "12/31/2016"
"Private Harbour Investment Management & Counsel LLC", 45155, 1467, "12/31/2016"
"Forward Management LLC", 45087, 1465, "12/31/2016"
"Somerville Kurt F", 44854, 1456, "12/31/2016"
"Gratus Capital LLC", 44668, 1451, "12/31/2016"
"Vigilant Capital Management LLC", 44477, 1445, "12/31/2016"
"Delta Asset Management LLC TN", 44180, 1435, "12/31/2016"
"Quadrant Capital Group LLC", 44594, 1435, "12/31/2016"
"Eqis Capital Management Inc.", 43599, 1416, "12/31/2016"
"Folger Nolan Fleming Douglas Capital Management Inc.", 38264, 1412, "12/31/2016"
"K.J. Harrison & Partners Inc", 43480, 1412, "12/31/2016"
"Rodgers Brothers Inc.", 43417, 1410, "12/31/2016"
"Wheatland Advisors Inc.", 43367, 1409, "12/31/2016"
"Clear Harbor Asset Management LLC", 43314, 1407, "12/31/2016"
"Hoertkorn Richard Charles", 43330, 1407, "12/31/2016"
"TRUE Private Wealth Advisors", 44209, 1400, "12/31/2016"
"Kistler Tiffany Companies LLC", 43030, 1398, "12/31/2016"
"Neumann Capital Management LLC", 42808, 1390, "12/31/2016"
"Summit Securities Group LLC", , 1387, "12/31/2016"
"Bridgecreek Investment Management LLC", 42645, 1385, "12/31/2016"
"Independent Advisor Alliance", 43590, 1385, "12/31/2016"
"Exencial Wealth Advisors LLC", 42542, 1382, "12/31/2016"
"Peddock Capital Advisors LLC", 42559, 1382, "12/31/2016"
"Philadelphia Trust Co.", 42516, 1381, "12/31/2016"
"Fulton Bank N.A.", 42410, 1378, "12/31/2016"
"Hall Laurie J Trustee", 41057, 1375, "12/31/2016"
"Investment Partners Ltd. OH  ADV", 42290, 1374, "12/31/2016"
"Bluefin Trading LLC", , 1373, "12/31/2016"
"Miles Capital Inc.", 42132, 1368, "12/31/2016"
"Exchange Capital Management Inc.", 41963, 1363, "12/31/2016"
"Ironwood Investment Counsel LLC", 41926, 1362, "12/31/2016"
"Corient Capital Partners LLC", 41909, 1361, "12/31/2016"
"Two Sigma Securities LLC", 41714, 1355, "12/31/2016"
"Torch Wealth Management LLC", 41710, 1355, "12/31/2016"
"Fairfield Bush & CO.", 41649, 1353, "12/31/2016"
"Sunnymeath Asset Management Inc.", 41668, 1353, "12/31/2016"
"Parallel Advisors LLC", 41591, 1351, "12/31/2016"
"Searle & CO.", 41552, 1350, "12/31/2016"
"Wunderlich Capital Managemnt", 41521, 1349, "12/31/2016"
"Matterhorn Capital Management LLC", 39637, 1343, "09/30/2016"
"PagnatoKarp Partners LLC", 41323, 1342, "12/31/2016"
